CCTV-1综合,rtp://239.254.200.45:8008
CCTV-2财经,rtp://239.254.200.158:6000
CCTV-3综艺,rtp://239.254.200.13:6000
CCTV-4国际,rtp://239.254.200.190:6307
CCTV-5体育,rtp://239.254.200.14:6000
CCTV-6电影,rtp://239.254.200.15:6000
CCTV-7军事,rtp://239.254.200.159:6000
CCTV-8电视,rtp://239.254.200.16:6000
CCTV-9纪录,rtp://239.254.200.59:8112
CCTV-10科教,rtp://239.254.200.160:6000
CCTV-11戏曲,rtp://239.254.201.123:8120
CCTV-12社法,rtp://239.254.200.161:6000
CCTV-13新闻,rtp://239.254.200.9:8264
CCTV-14少儿,rtp://239.254.200.162:6000
CCTV-15音乐,rtp://239.254.201.124:8136
CCTV-16奥匹4K,rtp://239.254.201.150:6345
CCTV-17农村,rtp://239.254.201.120:8144
CCTV-5+赛事,rtp://239.254.200.46:8004
CGTN,rtp://239.254.200.12:8056
CCTV-3综艺,rtp://239.254.201.152:7205
CCTV-5体育,rtp://239.254.201.153:7206
CCTV-6电影,rtp://239.254.201.154:7207
CCTV-8电视,rtp://239.254.201.155:7208
CCTV-16奥匹4K,rtp://239.254.201.150:6345
CCTV-16奥匹4K,rtp://239.254.200.7:6346
河北卫视,rtp://239.254.200.174:6000
河北经济生活,rtp://239.254.200.18:6000
河北都市,rtp://239.254.200.19:6000
河北影视剧,rtp://239.254.200.20:6000
河北少儿科教,rtp://239.254.200.21:6000
河北公共,rtp://239.254.200.22:6000
河北农民,rtp://239.254.200.23:6000
睛彩河北,rtp://239.254.200.27:6000
三佳购物,rtp://239.254.200.143:6000
优购物,rtp://239.254.201.78:6283
快乐购,rtp://239.254.201.79:7196
家有购物,rtp://239.254.201.80:7192
聚鲨环球精选,rtp://239.254.201.81:7191
家家购物,rtp://239.254.201.144:7262
央广购物,rtp://239.254.201.202:7268
河北杂技频道,rtp://239.254.201.139:7203
石家庄新闻综合,rtp://239.254.200.157:6000
石家庄娱乐,rtp://239.254.200.29:6000
石家庄生活,rtp://239.254.200.30:6000
石家庄都市,rtp://239.254.200.31:6000
承德新闻综合,rtp://239.254.200.32:6000
承德公共,rtp://239.254.200.33:6000
张家口新闻综合,rtp://239.254.200.35:6000
张家口公共,rtp://239.254.200.36:6000
秦皇岛新闻综合,rtp://239.254.200.39:6000
秦皇岛公共,rtp://239.254.200.40:6000
秦皇岛影视,rtp://239.254.200.41:6000
唐山新闻综合,rtp://239.254.200.166:6000
唐山生活服务,rtp://239.254.200.167:6000
唐山影视,rtp://239.254.200.168:6000
唐山公共,rtp://239.254.200.169:6000
廊坊新闻,rtp://239.254.200.183:6000
廊坊公共,rtp://239.254.200.184:6000
沧州新闻综合,rtp://239.254.200.42:6000
沧州公共,rtp://239.254.200.43:6000
沧州影视娱乐,rtp://239.254.200.44:6000
保定新闻综合,rtp://239.254.200.144:6000
保定公共频道,rtp://239.254.200.145:6000
保定生活健康,rtp://239.254.200.146:6000
衡水新闻综合,rtp://239.254.200.147:6000
衡水公共,rtp://239.254.200.149:6000
邢台综合,rtp://239.254.200.150:6000
邢台城市生活,rtp://239.254.200.152:6000
邯郸新闻综合,rtp://239.254.200.153:6000
邯郸公共,rtp://239.254.200.154:6000
邯郸科技教育,rtp://239.254.200.155:6000
湖南卫视,rtp://239.254.200.48:8012
浙江卫视,rtp://239.254.200.53:8036
江苏卫视,rtp://239.254.200.51:8028
安徽卫视,rtp://239.254.200.163:6000
福建卫视,rtp://239.254.201.13:6291
北京卫视,rtp://239.254.200.47:8024
天津卫视,rtp://239.254.200.54:1234
辽宁卫视,rtp://239.254.200.57:8056
山东卫视,rtp://239.254.200.55:8052
云南卫视,rtp://239.254.200.68:8108
河南卫视,rtp://239.254.201.16:7174
黑龙江卫视,rtp://239.254.200.49:8016
四川卫视,rtp://239.254.200.202:6325
江西卫视,rtp://239.254.201.12:6290
贵州卫视,rtp://239.254.201.20:6315
深圳卫视,rtp://239.254.200.50:8020
湖北卫视,rtp://239.254.200.164:6000
上海卫视,rtp://239.254.200.52:8032
重庆卫视,rtp://239.254.200.203:6323
山西卫视,rtp://239.254.200.83:8172
广东卫视,rtp://239.254.200.56:8048
广西卫视,rtp://239.254.200.80:8300
吉林卫视,rtp://239.254.201.15:6339
陕西卫视,rtp://239.254.200.82:8140
内蒙古卫视,rtp://239.254.200.84:8176
青海卫视,rtp://239.254.200.85:8184
海南卫视,rtp://239.254.201.125:6288
宁夏卫视,rtp://239.254.200.87:8124
西藏卫视,rtp://239.254.200.88:8164
新疆卫视,rtp://239.254.200.89:8160
甘肃卫视,rtp://239.254.200.90:8188
kaku少儿,rtp://239.254.200.91:9248
金鹰卡通,rtp://239.254.200.92:9252
嘉佳卡通,rtp://239.254.201.201:7269
优漫卡通,rtp://239.254.201.203:7178
山东教育,rtp://239.254.200.247:4120
纪实人文,rtp://239.254.200.58:8060
CETV-1,rtp://239.254.200.225:6259
纪实科教,rtp://239.254.200.188:6311
金鹰纪实,rtp://239.254.200.189:6293
电视指南,rtp://239.254.200.142:6256
第一剧场,rtp://239.254.200.93:6227
风云剧场,rtp://239.254.200.94:6228
怀旧剧场,rtp://239.254.200.95:6229
风云音乐,rtp://239.254.200.96:6230
风云足球,rtp://239.254.200.97:6231
高尔夫网球,rtp://239.254.200.98:6232
天元围棋,rtp://239.254.201.156:6270
武术世界,rtp://239.254.200.100:6234
兵器科技,rtp://239.254.200.101:6235
世界地理,rtp://239.254.200.102:6236
老故事,rtp://239.254.200.104:6237
环球奇观,rtp://239.254.200.105:6238
文物宝库,rtp://239.254.200.106:6239
国学频道,rtp://239.254.200.107:6255
茶频道,rtp://239.254.200.228:6258
女性时尚,rtp://239.254.200.110:6241
文化精品,rtp://239.254.200.111:6251
早期教育,rtp://239.254.200.114:6244
快乐垂钓,rtp://239.254.200.229:6257
书画,rtp://239.254.200.217:6267
摄影,rtp://239.254.200.119:6246
梨园频道,rtp://239.254.200.120:6247
靓妆,rtp://239.254.200.122:6249
重庆汽摩,rtp://239.254.200.103:6252
CETV-2,rtp://239.254.200.226:6260
CETV-4,rtp://239.254.200.227:6261
游戏竞技,rtp://239.254.201.157:6269
中学生,rtp://239.254.200.113:6243
新动漫,rtp://239.254.201.158:7170
网络棋牌,rtp://239.254.201.159:7169
先锋乒羽,rtp://239.254.201.160:7172
环球旅游,rtp://239.254.201.161:6264
车迷,rtp://239.254.201.162:6266
游戏风云,rtp://239.254.201.163:6354
欢笑剧场,rtp://239.254.201.164:6355
全纪实,rtp://239.254.201.200:6356
动漫秀场,rtp://239.254.201.165:6358
生活时尚,rtp://239.254.201.166:6359
都市剧场,rtp://239.254.201.167:6360
极速汽车,rtp://239.254.201.168:6362
足球频道,rtp://239.254.201.169:6341
体育赛事,rtp://239.254
