🕘️更新时间,#genre#
2025-05-17 18:15:50,http://38.96.178.201:80/live/ESPNHD/index.m3u8

🇭🇰全球频道,#genre#
ESPN,http://38.96.178.201:80/live/ESPNHD/index.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森电影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
凤凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰资讯,http://wouu.net:9977/udp/239.93.0.118:2191
凤凰香港,http://ali.hlspull.yximgs.com/live/qwt_fhhk.flv
France 24,https://live.france24.com/hls/live/2037218/F24_EN_HI_HLS/master_5000.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
重温经典,http://www.dsk.cc/php/bfgd.php?id=cwjd
香港卫视,https://piccpndali.v.myalicdn.com/audio/xianggangweishi_2.m3u8
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.131:11111
CHC影迷电影,http://hzzzz530.com:4022/udp/239.69.1.241:11088
动物星球,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

📺央卫频道,#genre#
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8
CCTV-1综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2财经,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221225588/.m3u8
CCTV-2财经,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2财经,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3综艺,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226021/.m3u8
CCTV-3综艺,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4国际,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-4国际,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226007/.m3u8
CCTV-4国际,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226428/.m3u8
CCTV-4国际,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4国际,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5体育,http://39.135.135.77/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
